Algorithm,NoiseType,SNR,T60,Condition,Metric,Score
DSB,white,0.0,0.15,"T60=0.15, SNR=0dB",PESQ,1.1667944192886353
DSB,white,0.0,0.15,"T60=0.15, SNR=0dB",ESTOI,0.6818167567253113
DSB,white,0.0,0.15,"T60=0.15, SNR=0dB",SI_SDR,6.501639366149902
DSB,inter,0.0,0.15,"T60=0.15, SNR=0dB",PESQ,1.4750038385391235
DSB,inter,0.0,0.15,"T60=0.15, SNR=0dB",ESTOI,0.8572449088096619
DSB,inter,0.0,0.15,"T60=0.15, SNR=0dB",SI_SDR,1.3968048095703125
MVDR,white,0.0,0.15,"T60=0.15, SNR=0dB",PESQ,1.1860204935073853
MVDR,white,0.0,0.15,"T60=0.15, SNR=0dB",ESTOI,0.7381877303123474
MVDR,white,0.0,0.15,"T60=0.15, SNR=0dB",SI_SDR,7.048530101776123
MVDR,inter,0.0,0.15,"T60=0.15, SNR=0dB",PESQ,2.450978994369507
MVDR,inter,0.0,0.15,"T60=0.15, SNR=0dB",ESTOI,0.9509824514389038
MVDR,inter,0.0,0.15,"T60=0.15, SNR=0dB",SI_SDR,11.670647621154785
Denoiser,white,0.0,0.15,"T60=0.15, SNR=0dB",PESQ,1.7924468517303467
Denoiser,white,0.0,0.15,"T60=0.15, SNR=0dB",ESTOI,0.673158586025238
Denoiser,white,0.0,0.15,"T60=0.15, SNR=0dB",SI_SDR,13.841179847717285
Denoiser,inter,0.0,0.15,"T60=0.15, SNR=0dB",PESQ,1.258848786354065
Denoiser,inter,0.0,0.15,"T60=0.15, SNR=0dB",ESTOI,0.8183279037475586
Denoiser,inter,0.0,0.15,"T60=0.15, SNR=0dB",SI_SDR,0.6243855953216553
DSB,white,10.0,0.15,"T60=0.15, SNR=10dB",PESQ,1.5151288509368896
DSB,white,10.0,0.15,"T60=0.15, SNR=10dB",ESTOI,0.8964366912841797
DSB,white,10.0,0.15,"T60=0.15, SNR=10dB",SI_SDR,14.470441818237305
DSB,inter,10.0,0.15,"T60=0.15, SNR=10dB",PESQ,2.229358196258545
DSB,inter,10.0,0.15,"T60=0.15, SNR=10dB",ESTOI,0.9486553072929382
DSB,inter,10.0,0.15,"T60=0.15, SNR=10dB",SI_SDR,10.701080322265625
MVDR,white,10.0,0.15,"T60=0.15, SNR=10dB",PESQ,1.531125545501709
MVDR,white,10.0,0.15,"T60=0.15, SNR=10dB",ESTOI,0.9119765758514404
MVDR,white,10.0,0.15,"T60=0.15, SNR=10dB",SI_SDR,16.41267967224121
MVDR,inter,10.0,0.15,"T60=0.15, SNR=10dB",PESQ,3.5365333557128906
MVDR,inter,10.0,0.15,"T60=0.15, SNR=10dB",ESTOI,0.9573997855186462
MVDR,inter,10.0,0.15,"T60=0.15, SNR=10dB",SI_SDR,14.193078994750977
Denoiser,white,10.0,0.15,"T60=0.15, SNR=10dB",PESQ,2.5641887187957764
Denoiser,white,10.0,0.15,"T60=0.15, SNR=10dB",ESTOI,0.8824193477630615
Denoiser,white,10.0,0.15,"T60=0.15, SNR=10dB",SI_SDR,18.21170997619629
Denoiser,inter,10.0,0.15,"T60=0.15, SNR=10dB",PESQ,1.870171070098877
Denoiser,inter,10.0,0.15,"T60=0.15, SNR=10dB",ESTOI,0.9291624426841736
Denoiser,inter,10.0,0.15,"T60=0.15, SNR=10dB",SI_SDR,10.146753311157227
DSB,white,0.0,0.3,"T60=0.3, SNR=0dB",PESQ,1.1690049171447754
DSB,white,0.0,0.3,"T60=0.3, SNR=0dB",ESTOI,0.5940077900886536
DSB,white,0.0,0.3,"T60=0.3, SNR=0dB",SI_SDR,5.800034523010254
DSB,inter,0.0,0.3,"T60=0.3, SNR=0dB",PESQ,1.5574606657028198
DSB,inter,0.0,0.3,"T60=0.3, SNR=0dB",ESTOI,0.8011818528175354
DSB,inter,0.0,0.3,"T60=0.3, SNR=0dB",SI_SDR,0.33212989568710327
MVDR,white,0.0,0.3,"T60=0.3, SNR=0dB",PESQ,1.218416690826416
MVDR,white,0.0,0.3,"T60=0.3, SNR=0dB",ESTOI,0.701519250869751
MVDR,white,0.0,0.3,"T60=0.3, SNR=0dB",SI_SDR,7.339907646179199
MVDR,inter,0.0,0.3,"T60=0.3, SNR=0dB",PESQ,1.778822898864746
MVDR,inter,0.0,0.3,"T60=0.3, SNR=0dB",ESTOI,0.8763794898986816
MVDR,inter,0.0,0.3,"T60=0.3, SNR=0dB",SI_SDR,6.309788227081299
Denoiser,white,0.0,0.3,"T60=0.3, SNR=0dB",PESQ,1.649752140045166
Denoiser,white,0.0,0.3,"T60=0.3, SNR=0dB",ESTOI,0.5483758449554443
Denoiser,white,0.0,0.3,"T60=0.3, SNR=0dB",SI_SDR,7.869704246520996
Denoiser,inter,0.0,0.3,"T60=0.3, SNR=0dB",PESQ,1.234117031097412
Denoiser,inter,0.0,0.3,"T60=0.3, SNR=0dB",ESTOI,0.7207101583480835
Denoiser,inter,0.0,0.3,"T60=0.3, SNR=0dB",SI_SDR,0.32953736186027527
DSB,white,10.0,0.3,"T60=0.3, SNR=10dB",PESQ,1.5543725490570068
DSB,white,10.0,0.3,"T60=0.3, SNR=10dB",ESTOI,0.8140169382095337
DSB,white,10.0,0.3,"T60=0.3, SNR=10dB",SI_SDR,12.50850772857666
DSB,inter,10.0,0.3,"T60=0.3, SNR=10dB",PESQ,2.3531806468963623
DSB,inter,10.0,0.3,"T60=0.3, SNR=10dB",ESTOI,0.9065086841583252
DSB,inter,10.0,0.3,"T60=0.3, SNR=10dB",SI_SDR,9.110739707946777
MVDR,white,10.0,0.3,"T60=0.3, SNR=10dB",PESQ,1.5889012813568115
MVDR,white,10.0,0.3,"T60=0.3, SNR=10dB",ESTOI,0.8590925335884094
MVDR,white,10.0,0.3,"T60=0.3, SNR=10dB",SI_SDR,15.328755378723145
MVDR,inter,10.0,0.3,"T60=0.3, SNR=10dB",PESQ,2.47019362449646
MVDR,inter,10.0,0.3,"T60=0.3, SNR=10dB",ESTOI,0.9006295204162598
MVDR,inter,10.0,0.3,"T60=0.3, SNR=10dB",SI_SDR,6.705812454223633
Denoiser,white,10.0,0.3,"T60=0.3, SNR=10dB",PESQ,2.027649402618408
Denoiser,white,10.0,0.3,"T60=0.3, SNR=10dB",ESTOI,0.7002384662628174
Denoiser,white,10.0,0.3,"T60=0.3, SNR=10dB",SI_SDR,7.638242244720459
Denoiser,inter,10.0,0.3,"T60=0.3, SNR=10dB",PESQ,1.5236423015594482
Denoiser,inter,10.0,0.3,"T60=0.3, SNR=10dB",ESTOI,0.8041613101959229
Denoiser,inter,10.0,0.3,"T60=0.3, SNR=10dB",SI_SDR,6.891536712646484
