Algorithm,NoiseType,SNR,T60,Condition,Metric,Score
DSB,white,0.0,0.15,"T60=0.15, SNR=0dB",PESQ,1.1658819913864136
DSB,white,0.0,0.15,"T60=0.15, SNR=0dB",ESTOI,0.6892183423042297
DSB,white,0.0,0.15,"T60=0.15, SNR=0dB",SI_SDR,6.468131065368652
DSB,inter,0.0,0.15,"T60=0.15, SNR=0dB",PESQ,1.4363921880722046
DSB,inter,0.0,0.15,"T60=0.15, SNR=0dB",ESTOI,0.8637956380844116
DSB,inter,0.0,0.15,"T60=0.15, SNR=0dB",SI_SDR,1.3973878622055054
MVDR,white,0.0,0.15,"T60=0.15, SNR=0dB",PESQ,1.1918634176254272
MVDR,white,0.0,0.15,"T60=0.15, SNR=0dB",ESTOI,0.691482424736023
MVDR,white,0.0,0.15,"T60=0.15, SNR=0dB",SI_SDR,7.32027530670166
MVDR,inter,0.0,0.15,"T60=0.15, SNR=0dB",PESQ,2.359779119491577
MVDR,inter,0.0,0.15,"T60=0.15, SNR=0dB",ESTOI,0.9558541178703308
MVDR,inter,0.0,0.15,"T60=0.15, SNR=0dB",SI_SDR,11.857803344726562
Denoiser,white,0.0,0.15,"T60=0.15, SNR=0dB",PESQ,1.7265560626983643
Denoiser,white,0.0,0.15,"T60=0.15, SNR=0dB",ESTOI,0.6634073853492737
Denoiser,white,0.0,0.15,"T60=0.15, SNR=0dB",SI_SDR,13.565637588500977
Denoiser,inter,0.0,0.15,"T60=0.15, SNR=0dB",PESQ,1.2121857404708862
Denoiser,inter,0.0,0.15,"T60=0.15, SNR=0dB",ESTOI,0.7953569889068604
Denoiser,inter,0.0,0.15,"T60=0.15, SNR=0dB",SI_SDR,0.7024387121200562
DSB,white,0.0,0.15,"T60=0.15, SNR=0dB",PESQ,1.2302017211914062
DSB,white,0.0,0.15,"T60=0.15, SNR=0dB",ESTOI,0.683639407157898
DSB,white,0.0,0.15,"T60=0.15, SNR=0dB",SI_SDR,5.297089576721191
DSB,inter,0.0,0.15,"T60=0.15, SNR=0dB",PESQ,1.2586106061935425
DSB,inter,0.0,0.15,"T60=0.15, SNR=0dB",ESTOI,0.6406509280204773
DSB,inter,0.0,0.15,"T60=0.15, SNR=0dB",SI_SDR,1.8636475801467896
MVDR,white,0.0,0.15,"T60=0.15, SNR=0dB",PESQ,1.2540044784545898
MVDR,white,0.0,0.15,"T60=0.15, SNR=0dB",ESTOI,0.7179060578346252
MVDR,white,0.0,0.15,"T60=0.15, SNR=0dB",SI_SDR,6.4344401359558105
MVDR,inter,0.0,0.15,"T60=0.15, SNR=0dB",PESQ,2.2225685119628906
MVDR,inter,0.0,0.15,"T60=0.15, SNR=0dB",ESTOI,0.8661720156669617
MVDR,inter,0.0,0.15,"T60=0.15, SNR=0dB",SI_SDR,-0.5812397003173828
Denoiser,white,0.0,0.15,"T60=0.15, SNR=0dB",PESQ,1.651907205581665
Denoiser,white,0.0,0.15,"T60=0.15, SNR=0dB",ESTOI,0.6727830171585083
Denoiser,white,0.0,0.15,"T60=0.15, SNR=0dB",SI_SDR,9.234598159790039
Denoiser,inter,0.0,0.15,"T60=0.15, SNR=0dB",PESQ,1.089409351348877
Denoiser,inter,0.0,0.15,"T60=0.15, SNR=0dB",ESTOI,0.45632344484329224
Denoiser,inter,0.0,0.15,"T60=0.15, SNR=0dB",SI_SDR,-4.549886703491211
DSB,white,0.0,0.15,"T60=0.15, SNR=0dB",PESQ,1.046836256980896
DSB,white,0.0,0.15,"T60=0.15, SNR=0dB",ESTOI,0.6922971606254578
DSB,white,0.0,0.15,"T60=0.15, SNR=0dB",SI_SDR,6.492195129394531
DSB,inter,0.0,0.15,"T60=0.15, SNR=0dB",PESQ,1.27842116355896
DSB,inter,0.0,0.15,"T60=0.15, SNR=0dB",ESTOI,0.7572499513626099
DSB,inter,0.0,0.15,"T60=0.15, SNR=0dB",SI_SDR,2.137284278869629
MVDR,white,0.0,0.15,"T60=0.15, SNR=0dB",PESQ,1.0504000186920166
MVDR,white,0.0,0.15,"T60=0.15, SNR=0dB",ESTOI,0.7325531244277954
MVDR,white,0.0,0.15,"T60=0.15, SNR=0dB",SI_SDR,7.359034538269043
MVDR,inter,0.0,0.15,"T60=0.15, SNR=0dB",PESQ,2.155822277069092
MVDR,inter,0.0,0.15,"T60=0.15, SNR=0dB",ESTOI,0.8957212567329407
MVDR,inter,0.0,0.15,"T60=0.15, SNR=0dB",SI_SDR,8.498278617858887
Denoiser,white,0.0,0.15,"T60=0.15, SNR=0dB",PESQ,1.389920949935913
Denoiser,white,0.0,0.15,"T60=0.15, SNR=0dB",ESTOI,0.6962214112281799
Denoiser,white,0.0,0.15,"T60=0.15, SNR=0dB",SI_SDR,11.779167175292969
Denoiser,inter,0.0,0.15,"T60=0.15, SNR=0dB",PESQ,1.2741299867630005
Denoiser,inter,0.0,0.15,"T60=0.15, SNR=0dB",ESTOI,0.7109972834587097
Denoiser,inter,0.0,0.15,"T60=0.15, SNR=0dB",SI_SDR,-1.2232815027236938
DSB,white,0.0,0.15,"T60=0.15, SNR=0dB",PESQ,1.0392519235610962
DSB,white,0.0,0.15,"T60=0.15, SNR=0dB",ESTOI,0.5833577513694763
DSB,white,0.0,0.15,"T60=0.15, SNR=0dB",SI_SDR,5.683119773864746
DSB,inter,0.0,0.15,"T60=0.15, SNR=0dB",PESQ,1.132451057434082
DSB,inter,0.0,0.15,"T60=0.15, SNR=0dB",ESTOI,0.5825864672660828
DSB,inter,0.0,0.15,"T60=0.15, SNR=0dB",SI_SDR,1.9764022827148438
MVDR,white,0.0,0.15,"T60=0.15, SNR=0dB",PESQ,1.044800877571106
MVDR,white,0.0,0.15,"T60=0.15, SNR=0dB",ESTOI,0.6118834614753723
MVDR,white,0.0,0.15,"T60=0.15, SNR=0dB",SI_SDR,7.040547847747803
